add84, PC=0, Tile=1
icmp85, PC=1, Tile=5
br86, PC=2, Tile=1
phi0, PC=3, Tile=1
trunc1, PC=4, Tile=1
getelementptr5, PC=5, Tile=1
getelementptr12, PC=6, Tile=1
add18, PC=4, Tile=5
add24, PC=5, Tile=5
mul31, PC=8, Tile=1
add39, PC=6, Tile=5
add52, PC=7, Tile=5
add73, PC=4, Tile=2
mul2, PC=9, Tile=5
load6, PC=10, Tile=5
load13, PC=7, Tile=6
getelementptr19, PC=5, Tile=2
getelementptr25, PC=6, Tile=2
and32, PC=9, Tile=6
getelementptr40, PC=8, Tile=6
load44, PC=6, Tile=6
getelementptr53, PC=8, Tile=2
udiv55, PC=5, Tile=0
mul69, PC=9, Tile=2
getelementptr74, PC=5, Tile=6
mul3, PC=10, Tile=2
load20, PC=7, Tile=2
getelementptr33, PC=10, Tile=6
sdiv45, PC=11, Tile=6
load54, PC=9, Tile=7
zext56, PC=7, Tile=9
load60, PC=6, Tile=7
and70, PC=10, Tile=7
add4, PC=11, Tile=9
sext21, PC=12, Tile=7
add27, PC=14, Tile=7
load34, PC=11, Tile=7
add35, PC=15, Tile=7
add46, PC=11, Tile=3
getelementptr57, PC=8, Tile=9
sdiv61, PC=7, Tile=11
add62, PC=12, Tile=3
getelementptr71, PC=11, Tile=10
store75, PC=10, Tile=10
add78, PC=13, Tile=3
add80, PC=14, Tile=3
sext7, PC=12, Tile=4
getelementptr22, PC=13, Tile=11
sext28, PC=15, Tile=10
sext36, PC=16, Tile=10
getelementptr42, PC=12, Tile=11
sext47, PC=15, Tile=11
sext63, PC=16, Tile=9
add67, PC=8, Tile=14
load72, PC=16, Tile=11
add79, PC=17, Tile=11
sext81, PC=17, Tile=4
getelementptr8, PC=14, Tile=4
getelementptr14, PC=15, Tile=4
load23, PC=14, Tile=10
getelementptr29, PC=18, Tile=11
getelementptr37, PC=17, Tile=14
getelementptr48, PC=16, Tile=14
store51, PC=14, Tile=13
store58, PC=13, Tile=9
getelementptr64, PC=18, Tile=4
getelementptr76, PC=18, Tile=14
getelementptr82, PC=18, Tile=0
load9, PC=15, Tile=0
store11, PC=16, Tile=4
load15, PC=16, Tile=8
store17, PC=16, Tile=0
store26, PC=15, Tile=3
store30, PC=23, Tile=3
load38, PC=19, Tile=14
store43, PC=20, Tile=14
load49, PC=17, Tile=13
store59, PC=21, Tile=14
load65, PC=19, Tile=8
store68, PC=24, Tile=3
store77, PC=20, Tile=4
store83, PC=20, Tile=0
store10, PC=17, Tile=8
store16, PC=18, Tile=8
store41, PC=21, Tile=0
store50, PC=20, Tile=8
store66, PC=24, Tile=0
Achieved DynamicPlacement_II is 7
threshold is 1
