add84, PC=0, Tile=5
icmp85, PC=1, Tile=1
br86, PC=2, Tile=5
phi0, PC=3, Tile=5
trunc1, PC=4, Tile=5
getelementptr5, PC=5, Tile=5
getelementptr12, PC=6, Tile=5
add18, PC=4, Tile=1
add24, PC=5, Tile=1
mul31, PC=7, Tile=5
add39, PC=6, Tile=1
add52, PC=7, Tile=1
add73, PC=8, Tile=5
mul2, PC=8, Tile=1
load6, PC=9, Tile=1
load13, PC=10, Tile=1
getelementptr19, PC=9, Tile=5
getelementptr25, PC=10, Tile=5
and32, PC=11, Tile=1
getelementptr40, PC=13, Tile=1
load44, PC=14, Tile=1
getelementptr53, PC=12, Tile=5
udiv55, PC=5, Tile=4
mul69, PC=8, Tile=6
getelementptr74, PC=9, Tile=2
mul3, PC=9, Tile=6
load20, PC=10, Tile=6
getelementptr33, PC=12, Tile=2
sdiv45, PC=15, Tile=2
load54, PC=13, Tile=6
zext56, PC=6, Tile=2
load60, PC=11, Tile=6
and70, PC=12, Tile=6
add4, PC=10, Tile=2
sext21, PC=14, Tile=6
add27, PC=15, Tile=6
load34, PC=16, Tile=6
add35, PC=17, Tile=6
add46, PC=10, Tile=7
getelementptr57, PC=7, Tile=2
sdiv61, PC=18, Tile=6
add62, PC=10, Tile=3
getelementptr71, PC=13, Tile=2
store75, PC=14, Tile=2
add78, PC=11, Tile=7
add80, PC=11, Tile=3
sext7, PC=12, Tile=3
getelementptr22, PC=15, Tile=3
sext28, PC=16, Tile=2
sext36, PC=19, Tile=2
getelementptr42, PC=17, Tile=3
sext47, PC=13, Tile=3
sext63, PC=11, Tile=2
add67, PC=19, Tile=7
load72, PC=14, Tile=3
add79, PC=19, Tile=3
sext81, PC=16, Tile=3
getelementptr8, PC=18, Tile=3
getelementptr14, PC=20, Tile=3
load23, PC=18, Tile=0
getelementptr29, PC=17, Tile=0
getelementptr37, PC=20, Tile=7
getelementptr48, PC=14, Tile=7
store51, PC=19, Tile=0
store58, PC=21, Tile=0
getelementptr64, PC=13, Tile=0
getelementptr76, PC=15, Tile=7
getelementptr82, PC=17, Tile=7
load9, PC=23, Tile=7
store11, PC=22, Tile=0
load15, PC=25, Tile=0
store17, PC=24, Tile=7
store26, PC=19, Tile=4
store30, PC=20, Tile=0
load38, PC=27, Tile=7
store43, PC=29, Tile=7
load49, PC=26, Tile=0
store59, PC=23, Tile=4
load65, PC=16, Tile=0
store68, PC=21, Tile=4
store77, PC=26, Tile=4
store83, PC=22, Tile=4
store10, PC=34, Tile=0
store16, PC=28, Tile=4
store41, PC=31, Tile=4
store50, PC=29, Tile=4
store66, PC=24, Tile=4
Achieved DynamicPlacement_II is 11
threshold is 1
